cid,cmpdname,canonicalsmiles,sensitizer
137935190,4-{[(tert-butoxy)carbonyl]amino}-2-[3-(trifluoromethyl)-1H-pyrazol-4-yl]butanoicacid,CC(C)(C)OC(=O)NCCC(C1=C(NN=C1)C(F)(F)F)C(=O)O,0
10219385,Tetrahydrofuran-3-carbonitrile,C1COCC1C#N,0
12950376,"(1R,2S,6R,7S)-4-(chloromethyl)tricyclo[5.2.1.0,2,6]dec-8-ene",C1C(CC2C1C3CC2C=C3)CCl,0
1968255,"2-((3-Ethyl-4-oxo-3,4,5,6,7,8-hexahydrobenzo[4,5]thieno[2,3-d]pyrimidin-2-yl)thio)-N-(9-ethyl-9H-carbazol-3-yl)acetamide",CCN1C2=C(C=C(C=C2)NC(=O)CSC3=NC4=C(C5=C(S4)CCCC5)C(=O)N3CC)C6=CC=CC=C61,0
16429052,Salor-int L439053-1EA,CCCN1C(=O)C(=CC2=CN(N=C2C3=C(C(=CC=C3)OCC(C)C)C)C4=CC=CC=C4)SC1=S,0
165980642,"(3R)-3-(hydroxymethyl)-1lambda6-thiomorpholine-1,1-dione hydrochloride",C1CS(=O)(=O)CC(N1)CO.Cl,0
21782484,"6-Fluoro-3,4-dihydro-1H-2-benzopyran-1,3-dione",C1C2=C(C=CC(=C2)F)C(=O)OC1=O,0
9627888,N'-(3-(2-Methoxyphenyl)allylidene)-5-(4-(octyloxy)phenyl)-1H-pyrazole-3-carbohydrazide,CCCCCCCCOC1=CC=C(C=C1)C2=NNC(=C2)C(=O)NN=CC=CC3=CC=CC=C3OC,0
132344148,"rel-(2S,4S)-Ethyl 4-aminotetrahydro-2H-pyran-2-carboxylate hydrochloride",CCOC(=O)C1CC(CCO1)N.Cl,0
2724948,"(R,R)-Chiraphos",CC(C(C)P(C1=CC=CC=C1)C2=CC=CC=C2)P(C3=CC=CC=C3)C4=CC=CC=C4,0
137838233,6-Fluorospiro[3.3]heptane-2-carboxylic acid,C1C(CC12CC(C2)F)C(=O)O,0
70182818,(S)-2-Methoxy-1-phenylethanamine hydrochloride,COCC(C1=CC=CC=C1)N.Cl,0
4057035,"1,3-Bis(4-bromophenyl)-1h-pyrazol-5-amine",C1=CC(=CC=C1C2=NN(C(=C2)N)C3=CC=C(C=C3)Br)Br,0
40427005,5-Chloro-2-fluoronicotinaldehyde,C1=C(C=NC(=C1C=O)F)Cl,0
62720532,"2-(3-isopropyl-1-methyl-1H-1,2,4-triazol-5-yl)acetic acid",CC(C)C1=NN(C(=N1)CC(=O)O)C,0
139882,4-t-Butylbenzenesulfonyl chloride,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)Cl,0
5216290,"2-Amino-3-(1H-1,2,4-triazol-1-yl)propanoic acid",C1=NN(C=N1)CC(C(=O)O)N,0
10888353,"Methyl 2,3-dichloro-3-oxopropanoate",COC(=O)C(C(=O)Cl)Cl,0
156595034,CID 156595034,CCCCCCCCC=CCCCCCCCC(=O)O.C(COCC(C(C(C(COCCO)OCCO)OCCO)OCCO)OCCO)O,0
12343540,2-(3-Fluorophenyl)morpholine,C1COC(CN1)C2=CC(=CC=C2)F,0
737155,Thionicotinamide,C1=CC(=CN=C1)C(=S)N,0
167731754,2-(2-Aminoethyl)-3-methylbutan-1-ol hydrochloride,CC(C)C(CCN)CO.Cl,0
122236919,3-Bromo-5-fluoro-2-iodophenol,C1=C(C=C(C(=C1O)I)Br)F,0
19756142,3-Propoxypyridine-2-carboxylic Acid,CCCOC1=C(N=CC=C1)C(=O)O,0
137952088,1-(5-Bromo-2-methylphenyl)cyclopropan-1-amine hydrochloride,CC1=C(C=C(C=C1)Br)C2(CC2)N.Cl,0
10406822,"(3AR,5S,5aR,8aS,8bR)-5-(iodomethyl)-2,2,7,7-tetramethyltetrahydro-3aH-bis([1,3]dioxolo)[4,5-b:4',5'-d]pyran",CC1(OC2C(OC3C(C2O1)OC(O3)(C)C)CI)C,0
51059952,"1-(Hexyloxy)-N,N,N-trimethyl-1-oxo-2-dodecanaminium bromide",CCCCCCCCCCC(C(=O)OCCCCCC)[N+](C)(C)C.[Br-],0
58243696,Tert-butyl 4-fluoro-2-(trifluoromethyl)benzoate,CC(C)(C)OC(=O)C1=C(C=C(C=C1)F)C(F)(F)F,0
67084521,tert-butyl 4-[(4-bromo-1H-pyrazol-1-yl)methyl]piperidine-1-carboxylate,CC(C)(C)OC(=O)N1CCC(CC1)CN2C=C(C=N2)Br,0
83288403,Methylbenzamido)nicotinic acid,CC1=CC=C(C=C1)C(=O)NC2=CC(=C(N=C2)N3CCC(CC3)(C(=O)N)N4CCCCC4)C(=O)O,0
69558,Pentafluorobenzaldehyde,C(=O)C1=C(C(=C(C(=C1F)F)F)F)F,0
22244961,2-Fluoro-2-methylpropanoyl chloride,CC(C)(C(=O)Cl)F,0
4187787,Isopropenylmagnesium bromide,C[C-]=C.[Mg+2].[Br-],0
24209068,Ethyl 3-(3-amino-1-benzothien-2-yl)-3-oxopropanoate,CCOC(=O)CC(=O)C1=C(C2=CC=CC=C2S1)N,0
81241,3-(Allyloxy)oxetane,C=CCOC1COC1,0
6093260,Calcium dichloride dihydrate,O.O.[Cl-].[Cl-].[Ca+2],0
2776100,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11-Icosafluorododecane-1,12-diol",C(C(C(C(C(C(C(C(C(C(C(CO)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,0
61688033,4-(But-3-yn-1-yl)piperazin-2-one,C#CCCN1CCNC(=O)C1,0
15297,"3,6-Dimethyl-3-heptanol",CCC(C)(CCC(C)C)O,0
135630481,"2-(((3-Mercapto-5-(2-methoxyphenyl)-4H-1,2,4-triazol-4-yl)imino)methyl)phenol",COC1=CC=CC=C1C2=NNC(=S)N2N=CC3=CC=CC=C3O,0
137935302,3-((2-Methoxyethyl)amino)propanoic acid hydrochloride,COCCNCCC(=O)O.Cl,0
21718,Alverine Citrate,CCN(CCCC1=CC=CC=C1)CCCC2=CC=CC=C2.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,0
1486209,"5-Chloro-1,3-Dimethyl-1H-Pyrazole-4-Sulfonamide",CC1=NN(C(=C1S(=O)(=O)N)Cl)C,0
129453075,"4-(4-Bromophenyl)-2,6-dichloropyrimidine-5-carbonitrile",C1=CC(=CC=C1C2=C(C(=NC(=N2)Cl)Cl)C#N)Br,0
155822920,"4-Chloro-2-ethyl-5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-YL)-2H-1,2,3-triazole",B1(OC(C(O1)(C)C)(C)C)C2=NN(N=C2Cl)CC,0
15089709,6-Benzothiazolecarboxaldehyde,C1=CC2=C(C=C1C=O)SC=N2,0
17760264,"3-oxo-3,4-dihydro-2H-1,4-benzoxazine-7-carboxylic acid",C1C(=O)NC2=C(O1)C=C(C=C2)C(=O)O,0
72214779,Methyl 3-(chloromethyl)-5-fluorobenzoate,COC(=O)C1=CC(=CC(=C1)CCl)F,0
4613655,"1-(2,5-Dichlorobenzyl)-3-methyl-1H-pyrazole-5-carbohydrazide",CC1=NN(C(=C1)C(=O)NN)CC2=C(C=CC(=C2)Cl)Cl,0
12315190,Sakakin,CC1=CC(=CC(=C1)OC2C(C(C(C(O2)CO)O)O)O)O,0
15952,"Ethanesulfonic acid, methyl ester",CCS(=O)(=O)OC,0
53407213,"1-(Cyclopropylmethyl)-4-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-pyrazole",B1(OC(C(O1)(C)C)(C)C)C2=CN(N=C2)CC3CC3,0
135419024,"3-Amino-2-phenyl-2H-pyrazolo[4,3-c]pyridine-4,6-diol",C1=CC=C(C=C1)N2C(=C3C(=N2)C=C(NC3=O)O)N,0
165558608,1-(3-Cyanoisoxazol-5-yl)cyclopropane-1-carboxylic acid,C1CC1(C2=CC(=NO2)C#N)C(=O)O,0
44119555,"4,4-Dimethylcyclohexen-1-ylboronic acid",B(C1=CCC(CC1)(C)C)(O)O,0
23150339,5-Azoniaspiro[4.4]nonane Hexafluorophosphate,C1CC[N+]2(C1)CCCC2.F[P-](F)(F)(F)(F)F,0
22665753,4-(Tetrahydropyran-4-yloxy)-benzenesulfonyl chloride,C1COCCC1OC2=CC=C(C=C2)S(=O)(=O)Cl,0
118344,4-Methyl-1-propylquinolinium iodide,CCC[N+]1=CC=C(C2=CC=CC=C21)C.[I-],0
13591657,"N-methyl-N-(2,2,2-trifluoroethyl)sulfamoyl chloride",CN(CC(F)(F)F)S(=O)(=O)Cl,0
13016,Benzyl methyl sulfide,CSCC1=CC=CC=C1,0
116460974,(4-Bromo-5-fluoro-2-methylphenyl)hydrazine,CC1=CC(=C(C=C1NN)F)Br,0
325340,4-Amino-2-bromobenzoic acid,C1=CC(=C(C=C1N)Br)C(=O)O,0
46203541,2-Amino-4-chloronicotinaldehyde,C1=CN=C(C(=C1Cl)C=O)N,0
13417097,3-(Pyridin-2-yl)benzyl alcohol,C1=CC=NC(=C1)C2=CC=CC(=C2)CO,0
123064,3-Fluorophenyl isocyanate,C1=CC(=CC(=C1)F)N=C=O,0
12424891,Methyl 4-methanesulfonylbutanoate,COC(=O)CCCS(=O)(=O)C,0
165588375,"4-{[3-(trifluoromethyl)-1H-1,2,4-triazol-1-yl]methyl}benzoicacid",C1=CC(=CC=C1CN2C=NC(=N2)C(F)(F)F)C(=O)O,0
73554941,"1,2,3,4-Tetrahydroisoquinoline-4-carboxylic acid hydrochloride",C1C(C2=CC=CC=C2CN1)C(=O)O.Cl,0
77237319,2-Octadec-9-enoxyethyl dihydrogen phosphate,CCCCCCCCC=CCCCCCCCCOCCOP(=O)(O)O,0
12840217,"4,4-Dimethylpent-2-ynoic acid",CC(C)(C)C#CC(=O)O,0
57336651,3-Bromo-2-fluoropyridin-4-amine,C1=CN=C(C(=C1N)Br)F,0
12255670,Julolidine hydrobromide,C1CC2=C3C(=CC=C2)CCCN3C1.Br,0
141344,3-Pentyn-2-ol,CC#CC(C)O,0
11051776,(S)-2-Hydroxy-1-(pyrrolidin-1-yl)propan-1-one,CC(C(=O)N1CCCC1)O,0
132313737,"Ethyl 2-hydroxy-4-methyl-1,3-oxazole-5-carboxylate",CCOC(=O)C1=C(NC(=O)O1)C,0
53476172,2-(5-Hydroxypentyl)-2-methylpropanedioic acid,CC(CCCCCO)(C(=O)O)C(=O)O,0
71756831,"5H,6H,7H,8H-imidazo[1,2-a]pyridine-5-carboxylic acid hydrochloride",C1CC(N2C=CN=C2C1)C(=O)O.Cl,0
16792134,"1-benzyl-6-cyclopropyl-1H-pyrazolo[3,4-b]pyridine-4-carboxylic acid",C1CC1C2=NC3=C(C=NN3CC4=CC=CC=C4)C(=C2)C(=O)O,0
7099156,(S)-4-(4-aminobenzyl)oxazolidin-2-one,C1C(NC(=O)O1)CC2=CC=C(C=C2)N,0
3379405,Thiamiprine,CN1C=NC(=C1SC2=NC(=NC3=C2NC=N3)N)[N+](=O)[O-],0
14411016,Diethyl 4-bromobutylphosphonate,CCOP(=O)(CCCCBr)OCC,0
11345129,"8-bromo-3,4-dihydro-2H-naphthalen-1-one",C1CC2=C(C(=O)C1)C(=CC=C2)Br,0
2437589,"3-Amino-1,3-diazaspiro[4.5]decane-2,4-dione",C1CCC2(CC1)C(=O)N(C(=O)N2)N,0
9639113,2-(2-(Anilinocarbothioyl)carbohydrazonoyl)phenyl 4-chlorobenzoate,C1=CC=C(C=C1)NC(=S)NN=CC2=CC=CC=C2OC(=O)C3=CC=C(C=C3)Cl,0
171037077,Isolongifolene epoxide,CC1(CCC2C3(C14CCC(C4)C3(C)C)O2)C,0
14975128,N-Methyl-3-(pyrrolidin-1-yl)propan-1-amine,CNCCCN1CCCC1,0
3427866,Tris(4-bromophenyl)silane,C1=CC(=CC=C1[SiH](C2=CC=C(C=C2)Br)C3=CC=C(C=C3)Br)Br,0
44118690,4-Aminomethyltetrahydropyran hydrochloride,C1COCCC1CN.Cl,0
11321060,3-chlorocyclobutane-1-carbonyl Chloride,C1C(CC1Cl)C(=O)Cl,0
2060076,"2-((4-(2,5-Dimethylphenyl)-5-phenyl-4H-1,2,4-triazol-3-yl)thio)-N-mesitylacetamide",CC1=CC(=C(C=C1)C)N2C(=NN=C2SCC(=O)NC3=C(C=C(C=C3C)C)C)C4=CC=CC=C4,0
6435378,"(5E)-5-[(3aS,5R,6aS)-5-hydroxy-4-[(E,3S)-3-hydroxy-4-methyloct-1-en-6-ynyl]-3,3a,4,5,6,6a-hexahydro-1H-pentalen-2-ylidene]pentanoic acid",CC#CCC(C)C(C=CC1C(CC2C1CC(=CCCCC(=O)O)C2)O)O,0
72207666,Benzyl 6-oxo-2-azaspiro[3.3]heptane-2-carboxylate,C1C(=O)CC12CN(C2)C(=O)OCC3=CC=CC=C3,0
24526,Chlorine,ClCl,0
136806708,"2-(2,3-dichlorophenoxy)-N-(1H-indol-3-ylmethylideneamino)acetamide",C1=CC=C2C(=C1)C(=CN2)C=NNC(=O)COC3=C(C(=CC=C3)Cl)Cl,0
71832991,5-iodo-3-(trifluoromethyl)-1H-pyrazole,C1=C(NN=C1I)C(F)(F)F,0
2778099,"2,3,3-Trimethylbutanoic acid",CC(C(=O)O)C(C)(C)C,0
712314,"2-(5,6-Dichloro-1,3-dioxoisoindolin-2-yl)acetic acid",C1=C2C(=CC(=C1Cl)Cl)C(=O)N(C2=O)CC(=O)O,0
58244030,"2-(2,6-Difluorophenoxy)-2-methylpropanoic acid",CC(C)(C(=O)O)OC1=C(C=CC=C1F)F,0
97617261,"5H-Pyrrolo[2,1-c][1,2,4]triazol-7(6H)-one",C1CN2C=NN=C2C1=O,0
2735653,Tert-Butyl N-(3-Amino-3-Thioxopropyl)Carbamate,CC(C)(C)OC(=O)NCCC(=S)N,0
17314,"2,3,6-Trimethylbenzoic acid",CC1=C(C(=C(C=C1)C)C(=O)O)C,0
45157653,p-Chloromethamphetamine hydrochloride,CC(CC1=CC=C(C=C1)Cl)NC.Cl,0
4717876,N-(4-Methylbenzyl)-2-propen-1-amine,CC1=CC=C(C=C1)CNCC=C,0
11018331,"1,4-Bis[(9S)-10,11-dihydro-6 inverted exclamation marka-methoxycinchonan-9-yl]-9,10-anthracenedione",CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)OC5=C6C(=C(C=C5)OC(C7CC8CCN7CC8CC)C9=C1C=C(C=CC1=NC=C9)OC)C(=O)C1=CC=CC=C1C6=O,0
70978525,"4-(4-chloro-3-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)phenyl)-1-methyl-1H-pyrazole",B1(OC(C(O1)(C)C)(C)C)C2=C(C=CC(=C2)C3=CN(N=C3)C)Cl,0
157879,"6-(Chloromethyl)pteridine-2,4-diamine monohydrochloride",C1=C(N=C2C(=NC(=NC2=N1)N)N)CCl.Cl,0
72207170,7-Methylindoline hydrochloride,CC1=C2C(=CC=C1)CCN2.Cl,0
22736998,N-Methyltetrahydro-2H-pyran-4-amine hydrochloride,CNC1CCOCC1.Cl,0
10721,o-Tolunitrile,CC1=CC=CC=C1C#N,0
2018923,Salor-int L413801-1EA,COC1=CC=C(C=C1)NC(=O)CSC2=NN=C(N2CC=C)C3=CC=CS3,0
2760175,N-(Naphthalen-1-yl)hydrazinecarbothioamide,C1=CC=C2C(=C1)C=CC=C2NC(=S)NN,0
135682060,7-bromo-2-(chloromethyl)quinazolin-4(3H)-one,C1=CC2=C(C=C1Br)N=C(NC2=O)CCl,0
126959458,"((2,2-Dimethyl-propionylamino)-methyl)-triphenyl-phosphonium, chloride",CC(C)(C)C(=O)NC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.Cl,0
10176193,2-Diethylaminoethyl vinyl ether,CCN(CC)CCOC=C,0
67550561,Methyl 5-(aminomethyl)-2-fluorobenzoate hydrochloride,COC(=O)C1=C(C=CC(=C1)CN)F.Cl,0
525718,p-Methylbenzylidene-(4-chlorophenyl)-amine,CC1=CC=C(C=C1)C=NC2=CC=C(C=C2)Cl,0
121502,1-[4-(Trifluoromethyl)phenyl]propan-2-amine,CC(CC1=CC=C(C=C1)C(F)(F)F)N,0
68160989,"(3aR,4R,5R,6aS)-5-Hydroxy-4-[(3S)-3-hydroxy-5-phenylpent-1-en-1-yl]hexahydro-2H-cyclopenta[b]furan-2-one",C1C(C(C2C1OC(=O)C2)C=CC(CCC3=CC=CC=C3)O)O,0
117220593,4-(Methoxymethyl)-2-methylaniline,CC1=C(C=CC(=C1)COC)N,0
28401697,"3-Chloro-2-[(4-methyl-1,3-thiazol-2-yl)sulfanyl]aniline",CC1=CSC(=N1)SC2=C(C=CC=C2Cl)N,0
56971654,6-bromo-5-methoxy-1H-indazole,COC1=C(C=C2C(=C1)C=NN2)Br,0
86674493,"Cyclopenta[b]pyrrole, octahydro-, hydrochloride (1:1), (3aR,6aR)-rel-",C1CC2CCNC2C1.Cl,0
4605954,(5-Amino-1-(4-methoxyphenyl)-1H-pyrazol-4-YL)(2-chlorophenyl)methanone,COC1=CC=C(C=C1)N2C(=C(C=N2)C(=O)C3=CC=CC=C3Cl)N,0
5064432,"5-(2-chlorophenyl)-4H-1,2,4-triazol-3-amine",C1=CC=C(C(=C1)C2=NC(=NN2)N)Cl,0
45792047,"2,2,2-trifluoroethyl N-[(4-sulfamoylphenyl)methyl]carbamate",C1=CC(=CC=C1CNC(=O)OCC(F)(F)F)S(=O)(=O)N,0
132351145,3-[({[(9H-fluoren-9-yl)methoxy]carbonyl}amino)methyl]-1-methyl-1H-pyrazole-5-carboxylic acid,CN1C(=CC(=N1)CNC(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24)C(=O)O,0
129990123,"2-ethyl-5-(trifluoromethyl)-2H-1,2,3-triazole-4-carboxylic acid",CCN1N=C(C(=N1)C(F)(F)F)C(=O)O,0
2758077,"4-(3,4-Dichlorobenzyl)-3-thiosemicarbazide",C1=CC(=C(C=C1CNC(=S)NN)Cl)Cl,0
170924491,"(1R,5S,9S,10R,11R,13R,14S,15S,16R)-7-ethyl-5-methyl-12-methylidene-7-azahexacyclo[7.6.2.210,13.01,8.05,16.010,15]nonadecane-11,14-diol",CCN1CC2(CCCC34C2CC(C31)C56C4C(C(CC5)C(=C)C6O)O)C,0
25000391,"1,2-dimethyl-5-(4,4,5,5-tetramethyl-1,3,2-dioxaborolan-2-yl)-1H-imidazole",B1(OC(C(O1)(C)C)(C)C)C2=CN=C(N2C)C,0
12629296,"4,7-Dibromo-5,6-dinitrobenzo[c][1,2,5]thiadiazole",C1(=C(C2=NSN=C2C(=C1[N+](=O)[O-])Br)Br)[N+](=O)[O-],0
17749786,4-Phenoxypiperidine hydrochloride,C1CNCCC1OC2=CC=CC=C2.Cl,0
3607071,Nifurthiazole,C1=C(OC(=C1)[N+](=O)[O-])C2=CSC(=N2)NNC=O,0
171920881,"1(2H)-Quinolinecarbonyl chloride, octahydro-, cis-(9CI)",C1CCC2C(C1)CCCN2C(=O)Cl,0
21787796,"(4,5,6,7-tetrahydro-2H-indazol-3-yl)methanol",C1CCC2=C(C1)C(=NN2)CO,0
12535791,4-(Trifluoromethyl)benzamidine hydrochloride,C1=CC(=CC=C1C(=N)N)C(F)(F)F.Cl,0
222992,"2-(4,5-Dimethoxy-2-nitrophenyl)acetonitrile",COC1=C(C=C(C(=C1)CC#N)[N+](=O)[O-])OC,0
118352,1-(Dimethoxymethyl)hexahydro-1H-azepine,COC(N1CCCCCC1)OC,0
60107827,tert-butyl N-(2-oxocycloheptyl)carbamate,CC(C)(C)OC(=O)NC1CCCCCC1=O,0
23423647,3-Chloronaphthalen-1-amine,C1=CC=C2C(=C1)C=C(C=C2N)Cl,0
132391452,"[4-(1,1-Difluoroethyl)oxan-4-yl]methanamine hydrochloride",CC(C1(CCOCC1)CN)(F)F.Cl,0
66663993,(5-Methyloxolan-2-yl)methanamine,CC1CCC(O1)CN,0
83823717,1-[(4-Chloro-3-fluorophenyl)methyl]cyclopropane-1-carboxylicacid,C1CC1(CC2=CC(=C(C=C2)Cl)F)C(=O)O,0
16212871,"2,5-Diethoxy-4-morpholinoaniline dihydrochloride",CCOC1=CC(=C(C=C1N)OCC)N2CCOCC2.Cl.Cl,0
84707297,"2,4-Dimethoxy-5-methylbenzene-1-sulfonyl chloride",CC1=CC(=C(C=C1OC)OC)S(=O)(=O)Cl,0
6877878,"3-[2-(benzyloxy)phenyl]-N'-[(E)-(2,4-dichlorophenyl)methylidene]-1H-pyrazole-5-carbohydrazide",C1=CC=C(C=C1)COC2=CC=CC=C2C3=NNC(=C3)C(=O)NN=CC4=C(C=C(C=C4)Cl)Cl,0
27465,"2,2',5,5'-Tetrachlorobenzidine",C1=C(C(=CC(=C1Cl)N)Cl)C2=CC(=C(C=C2Cl)N)Cl,0
79378,Propyl chloroacetate,CCCOC(=O)CCl,0
18445864,methyl 5-amino-1H-pyrazole-3-carboxylate,COC(=O)C1=CC(=NN1)N,0
10301,"1,4-Benzodioxan",C1COC2=CC=CC=C2O1,0
1995295,"N-[4-chloro-3-(trifluoromethyl)phenyl]-2-{[4-(prop-2-en-1-yl)-5-(pyridin-2-yl)-4H-1,2,4-triazol-3-yl]sulfanyl}acetamide",C=CCN1C(=NN=C1SCC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)C3=CC=CC=N3,0
22030648,"4-Bromo-3,6-dichloropyridazine",C1=C(C(=NN=C1Cl)Cl)Br,0
6451165,Vicriviroc Maleate,CC1CN(CCN1C(COC)C2=CC=C(C=C2)C(F)(F)F)C3(CCN(CC3)C(=O)C4=C(N=CN=C4C)C)C.C(=CC(=O)O)C(=O)O,0
83915351,3-isocyanato-5-methoxy-1H-indole,COC1=CC2=C(C=C1)NC=C2N=C=O,0
28965434,[3-fluoro-4-(2-methyl-1H-imidazol-1-yl)phenyl]methanamine,CC1=NC=CN1C2=C(C=C(C=C2)CN)F,0
197153,Cadmium fluorosilicate,[F-].[F-].[F-].[F-].[F-].[F-].[Si+4].[Cd+2],0
10866266,Glyoxal mono-dimethylhydrazone,CN(C)N=CC=O,0
21397,"1,5-Naphthalenedithiol",C1=CC2=C(C=CC=C2S)C(=C1)S,0
27458,"2,3-Diethylpyrazine",CCC1=NC=CN=C1CC,0
23677070,Sodium 3-(trifluoromethyl)benzene-1-sulfinate,C1=CC(=CC(=C1)S(=O)[O-])C(F)(F)F.[Na+],0
45075170,3-(Tetrahydro-furan-3-yl)-propylamine hydrochloride,C1COCC1CCCN.Cl,0
54676530,4-Hydroxy-6-methoxycoumarin,COC1=CC2=C(C=C1)OC(=O)C=C2O,0
114476,2-Undecanamine,CCCCCCCCCC(C)N,0
67096373,CID 67096373,CC(CCC(=O)O)C1CCC2C1(C(CC3C2CCC4C3(CCC(C4)O)C)O)C.O.[Na],0
65347931,"1-(5-bromopyridin-2-yl)-3-methyl-4,5-dihydro-1H-pyrazol-5-one",CC1=NN(C(=O)C1)C2=NC=C(C=C2)Br,0
22119022,3-Oxo-5-indanesulfonoyl chloride,C1CC(=O)C2=C1C=CC(=C2)S(=O)(=O)Cl,0
165587098,"7,7-Difluoro-2-azabicyclo[4.1.0]heptanehydrochloride",C1CC2C(C2(F)F)NC1.Cl,0
129896948,"6,7-Dihydro-5H-pyrazolo[5,1-b][1,3]oxazin-3-amine hydrochloride",C1CN2C(=C(C=N2)N)OC1.Cl,0
152684,2-Methyl-4-(4-aminophenyl)thiazole,CC1=NC(=CS1)C2=CC=C(C=C2)N,0
126804612,4-(5-Oxopyrrolidin-2-yl)benzoic acid,C1CC(=O)NC1C2=CC=C(C=C2)C(=O)O,0
821241,"2-(chloromethyl)-5,6-dimethylthieno[2,3-d]pyrimidin-4(3H)-one",CC1=C(SC2=C1C(=O)NC(=N2)CCl)C,0
6451919,"N1,N3-Bis(2,2,6,6-tetramethylpiperidin-4-yl)isophthalamide",CC1(CC(CC(N1)(C)C)NC(=O)C2=CC(=CC=C2)C(=O)NC3CC(NC(C3)(C)C)(C)C)C,0
15630344,"2-Methyl-5-phenyl-1,3-oxazole-4-carboxylic acid",CC1=NC(=C(O1)C2=CC=CC=C2)C(=O)O,0
12896002,Ethyl pyrrolidine-3-carboxylate,CCOC(=O)C1CCNC1,0
11422650,De-Boc-Docetaxel,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)N)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,0
67376140,"cis-tert-Butyl 4-oxohexahydropyrrolo[3,4-c]pyrrole-2(1H)-carboxylate",CC(C)(C)OC(=O)N1CC2CNC(=O)C2C1,0
580120,3-(4-Fluoroanilino)-1-(2-thienyl)-1-propanone,C1=CSC(=C1)C(=O)CCNC2=CC=C(C=C2)F,0
4357529,"5-(Cyclopentylmethyl)-1,3,4-thiadiazol-2-amine",C1CCC(C1)CC2=NN=C(S2)N,0
267535,"N,3,4,5-tetramethoxy-N-methylbenzamide",CN(C(=O)C1=CC(=C(C(=C1)OC)OC)OC)OC,0
144394,Allyl Sec-Butyl Sulfide,CCC(C)SCC=C,0
122164414,"Methyl (1s,3s)-3-(methylamino)cyclobutane-1-carboxylate hydrochloride, cis",CNC1CC(C1)C(=O)OC.Cl,0
55295891,trans-3-methoxy-N-methyl-cyclobutanamine,CNC1CC(C1)OC,0
72698634,"Benzoic acid, 2,3-difluoro-, sodium salt (1:1)",C1=CC(=C(C(=C1)F)F)C(=O)[O-].[Na+],0
57497268,"4-Formyl-2,6-dimethylphenylboronic acid",B(C1=C(C=C(C=C1C)C=O)C)(O)O,0
155943414,"5-(Aminomethyl)-2-bromo-1,3-thiazole-4-carboxylicacidhydrochloride",C(C1=C(N=C(S1)Br)C(=O)O)N.Cl,0
12033,4-Hydroxy-3-nitrobenzoic acid,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])O,0
12333169,"2,4-Dichloro-5-thiazolecarboxylic acid",C1(=C(N=C(S1)Cl)Cl)C(=O)O,0
86123653,3-(Benzyloxy)-3-methylbutanoic acid,CC(C)(CC(=O)O)OCC1=CC=CC=C1,0
14009787,2-Pyridazin-3-yloxyphenol,C1=CC=C(C(=C1)O)OC2=NN=CC=C2,0
71587566,Disodium Capryloyl Glutamate,CCCCCCCC(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+].[Na+],0
129318336,"(Z)-but-2-enedioic acid;2-[4-[2-[5-[2-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]ethyl]-1,1-dioxo-4H-1,2,4,6-thiatriazin-3-yl]ethylsulfanylmethyl]-1,3-thiazol-2-yl]guanidine",C1=C(N=C(S1)N=C(N)N)CSCCC2=NS(=O)(=O)N=C(N2)CCSCC3=CSC(=N3)N=C(N)N.C(=CC(=O)O)C(=O)O.C(=CC(=O)O)C(=O)O,0
71300237,3-(3-bromo-4-hydroxyphenyl)-2-(N-hydroxyimino)propanoic acid,C1=CC(=C(C=C1CC(=NO)C(=O)O)Br)O,0
154878787,3-(Pyrrolidin-1-yl)cyclobutanecarboxylic acid hydrochloride,C1CCN(C1)C2CC(C2)C(=O)O.Cl,0
9918805,Tacrolimus-Bio-X,CC1CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC(=O)C(C=C(C1)C)CC=C)O)C)C(=CC4CCC(C(C4)OC)O)C)O)C)OC)OC,0
59317428,4-Acetoxyphenethyl acrylate,CC(=O)OC1=CC=C(C=C1)CCOC(=O)C=C,0
135546685,"3-(Chloromethyl)-1H-1,2,4-triazol-5(4H)-one",C(C1=NNC(=O)N1)Cl,0
146155449,5-Bromo-2-chloro-4-methoxypyridin-3-amine,COC1=C(C(=NC=C1Br)Cl)N,0
